Company Name,ESG Score,Sentiment,Date
FI,0,0.9,2023-10-07
FICO,0,0.9,2023-10-07
FIS,18,0.9,2023-10-07
FITB,17,0.9,2023-10-07
FLT,18,0.9,2023-10-07
FMC,33,0.9,2023-10-07
FOX,0,0.9,2023-10-07
FOXA,0,0.9,2023-10-07
FRT,12,0.9,2023-10-07
FSLR,0,0.9,2023-10-07
FTNT,19,0.9,2023-10-07
FTRE,0,0.9,2023-10-07
FTV,35,0.9,2023-10-07
GD,35,0.9,2023-10-07
GE,41,0.9,2023-10-07
GEHC,0,0.9,2023-10-07
GEN,15,0.9,2023-10-07
GILD,22,0.9,2023-10-07
GIS,22,0.9,2023-10-07
GL,20,0.9,2023-10-07
GLW,19,0.9,2023-10-07
GM,31,0.9,2023-10-07
GNRC,0,0.9,2023-10-07
GOOG,0,0.9,2023-10-07
GOOGL,24,0.9,2023-10-07
GPC,13,0.9,2023-10-07
GPN,19,0.9,2023-10-07
GRMN,19,0.9,2023-10-07
GS,26,0.9,2023-10-07
GWW,15,0.9,2023-10-07
HAL,24,0.9,2023-10-07
HAS,7,0.9,2023-10-07
HBAN,20,0.9,2023-10-07
HCA,28,0.9,2023-10-07
HD,13,0.9,2023-10-07
HES,36,0.9,2023-10-07
HIG,16,0.9,2023-10-07
HII,0,0.9,2023-10-07
HLT,17,0.9,2023-10-07
HOLX,28,0.9,2023-10-07
HON,29,0.9,2023-10-07
HPE,12,0.9,2023-10-07
HPQ,11,0.9,2023-10-07
HRL,30,0.9,2023-10-07
HSIC,13,0.9,2023-10-07
HST,14,0.9,2023-10-07
HSY,27,0.9,2023-10-07
HUM,22,0.9,2023-10-07
HWM,0,0.9,2023-10-07
IBM,15,0.9,2023-10-07
ICE,16,0.9,2023-10-07
IDXX,19,0.9,2023-10-07
IEX,27,0.9,2023-10-07
IFF,22,0.9,2023-10-07
ILMN,11,0.9,2023-10-07
INCY,24,0.9,2023-10-07
INTC,17,0.9,2023-10-07
INTU,16,0.9,2023-10-07
INVH,0,0.9,2023-10-07
IP,24,0.9,2023-10-07
IPG,10,0.9,2023-10-07
IQV,19,0.9,2023-10-07
IR,0,0.9,2023-10-07
IRM,15,0.9,2023-10-07
ISRG,24,0.9,2023-10-07
IT,22,0.9,2023-10-07
ITW,20,0.9,2023-10-07
IVZ,20,0.9,2023-10-07
J,22,0.9,2023-10-07
JBHT,14,0.9,2023-10-07
JCI,15,0.9,2023-10-07
JKHY,15,0.9,2023-10-07
JNJ,25,0.9,2023-10-07
JNPR,17,0.9,2023-10-07
JPM,29,0.9,2023-10-07
K,27,0.9,2023-10-07
KDP,0,0.9,2023-10-07
KEY,23,0.9,2023-10-07
KEYS,9,0.9,2023-10-07
KHC,35,0.9,2023-10-07
KIM,12,0.9,2023-10-07
KLAC,17,0.9,2023-10-07
KMB,22,0.9,2023-10-07
KMI,19,0.9,2023-10-07
KMX,12,0.9,2023-10-07
KO,23,0.9,2023-10-07
KR,21,0.9,2023-10-07
L,16,0.9,2023-10-07
LDOS,12,0.9,2023-10-07
LEN,23,0.9,2023-10-07
LH,19,0.9,2023-10-07
LHX,0,0.9,2023-10-07
LIN,0,0.9,2023-10-07
LKQ,11,0.9,2023-10-07
LLY,32,0.9,2023-10-07
LMT,28,0.9,2023-10-07
LNC,18,0.9,2023-10-07
LNT,22,0.9,2023-10-07
LOW,11,0.9,2023-10-07
LRCX,13,0.9,2023-10-07
LUV,32,0.9,2023-10-07
LVS,18,0.9,2023-10-07
LW,0,0.9,2023-10-07
LYB,25,0.9,2023-10-07
LYV,0,0.9,2023-10-07
MA,17,0.9,2023-10-07
MAA,15,0.9,2023-10-07
MAR,22,0.9,2023-10-07
MAS,22,0.9,2023-10-07
MCD,25,0.9,2023-10-07
MCHP,31,0.9,2023-10-07
MCK,15,0.9,2023-10-07
MCO,11,0.9,2023-10-07
MDLZ,24,0.9,2023-10-07
MDT,23,0.9,2023-10-07
MET,15,0.9,2023-10-07
