Symbol,ESG,Year
OKE,26,2023
OMC,16,2023
ON,27,2023
ORCL,14,2023
ORLY,13,2023
OTIS,0,2023
OXY,43,2023
PANW,14,2023
PARA,0,2023
PAYC,0,2023
PAYX,17,2023
PCAR,28,2023
PCG,35,2023
PEAK,10,2023
PEG,26,2023
PEP,16,2023
PFE,25,2023
PFG,17,2023
PG,27,2023
PGR,21,2023
PH,29,2023
PHM,21,2023
PKG,17,2023
PLD,9,2023
PM,24,2023
PNC,22,2023
PNR,23,2023
PNW,31,2023
PODD,0,2023
POOL,0,2023
PPG,24,2023
PPL,34,2023
PRU,16,2023
PSA,12,2023
PSX,29,2023
PTC,19,2023
PWR,37,2023
PXD,37,2023
PYPL,16,2023
QCOM,17,2023
QRVO,29,2023
RCL,21,2023
REG,11,2023
REGN,18,2023
RF,16,2023
RHI,11,2023
RJF,24,2023
RL,13,2023
RMD,26,2023
ROK,18,2023
ROL,20,2023
ROP,23,2023
ROST,16,2023
RSG,21,2023
RTX,0,2023
RVTY,0,2023
SBAC,12,2023
SBUX,25,2023
SCHW,24,2023
SEDG,0,2023
SEE,21,2023
SHW,29,2023
SJM,31,2023
SLB,22,2023
SNA,31,2023
SNPS,13,2023
SO,33,2023
SPG,14,2023
SPGI,14,2023
SRE,25,2023
STE,0,2023
STLD,32,2023
STT,22,2023
STX,11,2023
STZ,26,2023
SWK,26,2023
SWKS,28,2023
SYF,17,2023
SYK,29,2023
SYY,12,2023
T,22,2023
TAP,21,2023
TDG,39,2023
TDY,0,2023
TECH,0,2023
TEL,16,2023
TER,16,2023
TFC,0,2023
TFX,30,2023
TGT,15,2023
TJX,14,2023
TMO,14,2023
TMUS,26,2023
TPR,13,2023
TRGP,34,2023
TRMB,13,2023
TROW,17,2023
TRV,21,2023
TSCO,14,2023
TSLA,29,2023
TSN,37,2023
TT,16,2023
TTWO,0,2023
TXN,20,2023
TXT,34,2023
TYL,0,2023
UAL,29,2023
UDR,12,2023
UHS,33,2023
ULTA,15,2023
UNH,18,2023
UNP,25,2023
UPS,20,2023
URI,18,2023
USB,30,2023
V,16,2023
VFC,13,2023
VICI,0,2023
VLO,30,2023
VMC,29,2023
VRSK,19,2023
VRSN,21,2023
VRTX,23,2023
VTR,13,2023
VTRS,0,2023
VZ,18,2023
WAB,23,2023
WAT,17,2023
WBA,18,2023
WBD,0,2023
WDC,11,2023
WEC,27,2023
WELL,12,2023
WFC,33,2023
WHR,16,2023
WM,17,2023
WMB,24,2023
WMT,25,2023
WRB,22,2023
WRK,0,2023
WST,0,2023
WTW,19,2023
WY,18,2023
WYNN,26,2023
XEL,24,2023
XRAY,16,2023
XYL,16,2023
YUM,21,2023
ZBH,27,2023
ZBRA,0,2023
ZION,0,2023
ZTS,18,2023
